FID,NAME,FIRST_FIPS,OBJECTID,FEATURE_AR,FEATURE_LE,FDOTDistr,DistrictSt,DEPCODE,DEPCODENUM,DCode,County,FDOTCounty,SHAPE_Leng,SHAPE_Area
"57",Hillsborough,"057","28",0.000000000000000,0.000000000000000,"7",Seven,"29","29",D7,Hillsborough,"10",688102.458401012700051,-3566412953.500000000000000
"58",Holmes,"059","29",0.000000000000000,0.000000000000000,"3",Three,"30","30",D3,Holmes,"52",206070.678280440624803,-1723302058.000000000000000
"59",Indian River,"061","30",0.000000000000000,0.000000000000000,"4",Four,"31","31",D4,Indian River,"88",419451.892309108749032,-1708592151.500000000000000
"60",Jackson,"063","31",0.000000000000000,0.000000000000000,"3",Three,"32","32",D3,Jackson,"53",262604.967460287909489,-3358829393.500000000000000
"61",Jefferson,"065","32",0.000000000000000,0.000000000000000,"3",Three,"33","33",D3,Jefferson,"54",290232.098861412552651,-2139564078.000000000000000
"62",Lafayette,"067","33",0.000000000000000,0.000000000000000,"2",Two,"34","34",D2,Lafayette,"33",223688.411173755885102,-1898392757.000000000000000
"63",Lake,"069","34",0.000000000000000,0.000000000000000,"5",Five,"35","35",D5,Lake,"11",377278.503634002525359,-3914310395.000000000000000
"64",Lee,"071","35",0.000000000000000,0.000000000000000,"1",One,"36","36",D1,Lee,"12",1398718.836364398011938,-2730646626.500000000000000
"65",Leon,"073","36",0.000000000000000,0.000000000000000,"3",Three,"37","37",D3,Leon,"55",284808.848848578287289,-2453589091.500000000000000
"66",Levy,"075","37",0.000000000000000,0.000000000000000,"2",Two,"38","38",D2,Levy,"34",785568.021878294297494,-3891533747.500000000000000
"67",Liberty,"077","38",0.000000000000000,0.000000000000000,"3",Three,"39","39",D3,Liberty,"56",355832.466735861380585,-2935756366.500000000000000
